URL,Title,Description,Keywords,Title Exists (True/False),Description Exists (True/False),Keywords Exists (True/False)
http://10.4.95.44/clinics,Детские клиники,Медицинские организации,,True,True,False
http://10.4.95.44/psihologicheskaya_pomosch/uchebnii_tsentr_professionalnogo_razvitiya_kompetentsii_copy_copy,Психологическая помощь. Консультации и тренинги,Профилактика эмоционального и профессионального выгорания.,,True,True,False
http://10.4.95.44/psihologicheskaya_pomosch/poleznie_soveti_vrachei/sovet_1,Совет 1,Совет,,True,True,False
http://10.4.95.44/psihologicheskaya_pomosch/poleznie_soveti_vrachei/sovet_2,Совет 2,Совет 2,,True,True,False
http://10.4.95.44/psihologicheskaya_pomosch/poleznie_soveti_vrachei,Полезные советы врачей,Полезные советы,,True,True,False
http://10.4.95.44/psihologicheskaya_pomosch,Психологическая помощь,Информация об очных и дистанционных психологических тренингах.,,True,True,False
http://10.4.95.44/sotsialnie_seti,Социальные сети,Ссылки на страницы в социальных сетях и мессенджерах,,True,True,False
http://10.4.95.44/library,Библиотека,Библиотека с полезными материалами,,True,True,False
http://10.4.95.44/university/mify-i-ih-razoblachenie,Мифы и их разоблачение,Факты о здоровье детей,,True,True,False
http://10.4.95.44/university/saharnyj-diabet/saharnii_diabet_u_detei,Сахарный диабет у детей,Основная информация о заболевании,,True,True,False
http://10.4.95.44/university/saharnyj-diabet,Сахарный диабет,Школа сахарного диабета и основная информация о заболеании,,True,True,False
http://10.4.95.44/university/dcp/fakti-i-mifi-o-detskom-tserebralnom-paraliche,,,,False,False,False
http://10.4.95.44/university/dcp/roditeli_ne_vinovati_o_realnih_prichinah_invalidnosti,Родители не виноваты: о реальных причинах инвалидности,Почему в инвалидности детей часто винят родителей?,,True,True,False
http://10.4.95.44/university/dcp,ДЦП,Школа для родителей детей с ДЦП,,True,True,False
http://10.4.95.44/university,Здоровье детей,"Образовательные видео и статьи для родителей!
Интересные факты о родительстве.",,True,True,False
http://10.4.95.44/spravochnik_roditelya/dlya_molodih_roditelei/ya_rodilsa,«Я родился в Подмосковье»,Описание набора «Я родился в Подмосковье» и способ получения,,True,True,False
http://10.4.95.44/spravochnik_roditelya/dlya_molodih_roditelei/usluga__rozhdenie_rebenka,Услуга « Рождение ребенка»,Комплексная услуга для родителей,,True,True,False
http://10.4.95.44/spravochnik_roditelya/dlya_molodih_roditelei/_molochnaya_kuhnya_,Молочная кухня,Денежная компенсация молочной кухни,,True,True,False
http://10.4.95.44/spravochnik_roditelya/dlya_molodih_roditelei,Для молодых родителей,"Информация, которая пригодится родителям новорожденных",,True,True,False
http://10.4.95.44/spravochnik_roditelya/poliklinika_i_rebenok/oformlenie_polisa_oms,Оформление полиса ОМС,Как оформить полис ОМС. Чем отличаются постоянный и временный полисы ОМС?,,True,True,False
http://10.4.95.44/spravochnik_roditelya/poliklinika_i_rebenok/prikreplenie_k_poliklinike,Прикрепление к поликлинике,Как прикрепить ребенка к поликлинике,,True,True,False
http://10.4.95.44/spravochnik_roditelya/poliklinika_i_rebenok/zapis_k_vrachu,Запись к врачу,Как записаться ко врачу.,,True,True,False
http://10.4.95.44/spravochnik_roditelya/poliklinika_i_rebenok/vizov_vracha_na_dom,Вызов врача на дом,Как вызвать врача на дом.,,True,True,False
http://10.4.95.44/spravochnik_roditelya/poliklinika_i_rebenok,Поликлиника и ребенок,"Полис ОМС, вызов врача, прикрепление к поликлинике",,True,True,False
http://10.4.95.44/spravochnik_roditelya/lekarstvennoe_obespechenie_detei_do_18_let/lekarstvennoe_obespechenie_detei,Бесплатные лекарства для детей,Льготы о выделении лекарств бесплатно или со скидками зафиксированы на федеральном уровне.,,True,True,False
http://10.4.95.44/spravochnik_roditelya/lekarstvennoe_obespechenie_detei_do_18_let/besplatnie_lekarstva_detyam__invalidam,Бесплатные лекарства детям - инвалидам,Лекарственное обеспечение детей-инвалидов,,True,True,False
http://10.4.95.44/spravochnik_roditelya/lekarstvennoe_obespechenie_detei_do_18_let,Лекарственное обеспечение детей до 18 лет,Что нужно знать о лекарственном обеспечении ребенка,,True,True,False
http://10.4.95.44/spravochnik_roditelya,Рекомендации родителям,Краткая информация о способах предоставления медицинской помощи,,True,True,False
http://10.4.95.44/https://zdrav.mosreg.ru/map,,,,False,False,False
http://10.4.95.44/pacientskie-organizacii,Пациентские организации,Пациентские организации,,True,True,False
http://10.4.95.44/events,Мероприятия,Мероприятия Мероприятия,,True,True,False
http://10.4.95.44/plan_beremennost/chto_nuzhno_znat_zhenschine_i_muzhchine_pered_zachatiem_reby/test,Тест,Тест,,True,True,False
http://10.4.95.44/plan_beremennost/chto_nuzhno_znat_zhenschine_i_muzhchine_pered_zachatiem_reby,Что нужно знать женщине и мужчине перед зачатием ребёнка?,"Планирование беременности – важный период в жизни каждой пары. Отнестись к нему нужно наиболее ответственно, так как от своевременно начатой подготовки и обследования пары зависит успешность зачатия ребенка и течение беременности.",,True,True,False
http://10.4.95.44/plan_beremennost/etapi_podgotovki_k_beremennosti,Этапы подготовки к беременности,"Анализы, обследования, лечение болезней, питание, режим отдыха, приём лекарств. Планирование беременности — один из этапов ответственной подготовки семейной пары к рождению малыша.",,True,True,False
http://10.4.95.44/plan_beremennost/obsledovaniya_i_analizi_pered_beremennostyu,Обследования и анализы перед беременностью,"Список самых необходимых обследований, рекомендованных перед зачатием ребёнка. Это анализы на инфекции, исследование крови, УЗИ органов малого таза и прочее.",,True,True,False
http://10.4.95.44/plan_beremennost/10_shagov_k_uspeshnoi_beremennosti,10 шагов к успешной беременности,"Советы по планированию беременности. Рекомендации по обследованиям, специалистам, образу жизни перед зачатием ребенка. 10 важных советов от специалистов, как грамотно подготовиться к беременности.",,True,True,False
http://10.4.95.44/plan_beremennost/kak_bez_vracha_raspoznat_beremennost_po_rannim_priznakam,Как без врача распознать беременность по ранним признакам?,"Обычно ориентируются на задержку менструации, однако многие характерные изменения в теле женщины могут быть замечены и раньше. Головокружения и капризы могут указывать на беременность. Какие еще неочевидные признаки, читайте подробнее в нашей статье.",,True,True,False
http://10.4.95.44/plan_beremennost,Планирование беременности,"Планирование беременности, анализы перед зачатием, обследования перед зачатием, консультации перед зачатием, ЭКО Московская область, следить за овуляцией, рекомендации по питанию, упражнения Кегеля.",,True,True,False
http://10.4.95.44/doctors,Специалисты,Специалисты,,True,True,False
http://10.4.95.44/ya_beremenna/poleznie_soveti_vrachei/izmeneniya_v_organizme_beremennoi_zhenschini_chto_yavlyaetsya,,,,False,False,False
http://10.4.95.44/ya_beremenna/poleznie_soveti_vrachei/chto_nuzhno_znat_buduschei_mame_o_pervom_skrininge,Что нужно знать будущей маме о первом скрининге?,Первый скрининг в I триместре — одно из самых важных комплексных обследований будущей мамы.,,True,True,False
http://10.4.95.44/ya_beremenna/poleznie_soveti_vrachei/gemorroi_vo_vremya_beremennosti,Геморрой во время беременности,"Геморрой во время беременности. Советы врача, как справиться с недугом, какие продукты лучше всего употреблять, а от каких отказаться. Полезные советы гинеколога.",,True,True,False
http://10.4.95.44/ya_beremenna/poleznie_soveti_vrachei/anemiya_vo_vremya_beremennosti,Анемия во время беременности,"Анемия и железодефицит у беременных. Лечение и советы врача, симптомы болезни, которые нельзя игнорировать.",,True,True,False
http://10.4.95.44/ya_beremenna/poleznie_soveti_vrachei/pitanie_vo_vremya_beremennosti,Питание во время беременности,Полезное питание во время беременности.  Полноценное и сбалансированное питание во время беременности снижает риск развития многих патологий и болезней.,,True,True,False
http://10.4.95.44/ya_beremenna/poleznie_soveti_vrachei/uglevodi_vo_vremya_beremennosti_vred_i_polza,Углеводы во время беременности: вред и польза,"Углеводы во время беременности: вред и польза. Углеводы могут быть простыми и сложными. Разбираемся, какие можно употреблять беременным, а от каких углеводов лучше отказаться.",,True,True,False
http://10.4.95.44/ya_beremenna/poleznie_soveti_vrachei/kakie_lekarstva_mozhno_ispolzovat_beremennim,Какие лекарства можно использовать беременным?,"Список противопоказаний в аннотации к любому препарату практически всегда начинается со слов «не применять во время беременности и лактации», но и беременные, и кормящие женщины могут заболеть.",,True,True,False
http://10.4.95.44/ya_beremenna/poleznie_soveti_vrachei/beremennost_i_polyot_na_samolyote,Беременность и полёт на самолёте,"Беременность и полёт на самолёте. Перед планированием полёта надо изучить информацию на сайте выбранной авиакомпании и, конечно, посоветоваться с наблюдающим врачом-гинекологом",,True,True,False
http://10.4.95.44/ya_beremenna/poleznie_soveti_vrachei/fitnes_vo_vremya_beremennosti,Фитнес во время беременности,Занятия спортом во время беременности. Какие виды физической активности не рекомендованы беременным.,,True,True,False
http://10.4.95.44/ya_beremenna/poleznie_soveti_vrachei,Полезные советы врачей,Рекомендации специалистов для беременных женщин,,True,True,False
http://10.4.95.44/ya_beremenna/trevozhnie_signali/kislorodnoe_golodaniya_ploda,Кислородное голодания плода,"Неблагополучное внутриутробное состояние ребенка женщина может заподозрить, только если отмечает изменение шевелений: ослабление, снижение количества шевелений или их отсутствие.",,True,True,False
http://10.4.95.44/ya_beremenna/trevozhnie_signali/krovyanistie_videleniya,Кровянистые выделения,Кровянистые выделения во время беременности - опасное состояние. На ранних сроках появление кровянистых выделений может быть симптомом угрозы прерывания беременности.,,True,True,False
http://10.4.95.44/ya_beremenna/trevozhnie_signali/visokoe_arterialnoe_davlenie,Высокое артериальное давление,"Во время счастливого ожидания малыша может возникнуть тяжелое осложнение – преэклампсия, основным проявлением которого является повышение артериального давления. Симптомы и советы врачей.",,True,True,False
http://10.4.95.44/ya_beremenna/trevozhnie_signali/bol_v_zhivote,Боль в животе,"Боли в животе во время беременности. Причиной такой боли могут быть физиологические процессы - натяжение святочного аппарата органов малого таза, тренировочные схватки.",,True,True,False
http://10.4.95.44/ya_beremenna/trevozhnie_signali,Тревожные сигналы,на что обратить внимание,,True,True,False
http://10.4.95.44/ya_beremenna/edem_v_roddom/chto_vzyat_s_soboi_v_roddom,Что взять с собой в роддом?,Список вещей и документов необходимых в роддоме,,True,True,False
http://10.4.95.44/ya_beremenna/edem_v_roddom,Едем в роддом,едем в родильный дом,,True,True,False
http://10.4.95.44/ya_beremenna/posle_rodov/kontratseptsiya_posle_rodov,Контрацепция после родов,"Контрацепция после родов. Женскому организму нужен период для восстановления сил перед следующей беременностью, который составляет в идеале 1,5-2 года.",,True,True,False
http://10.4.95.44/ya_beremenna/posle_rodov/poslerodovoi_osmotr,Послеродовой осмотр,"Послеродовой осмотр у гинеколога. Разбираемся, когда нужно посетить гинеколога после появления малыша на свет.",,True,True,False
http://10.4.95.44/ya_beremenna/posle_rodov/opuschenie_tazovih_organov_posle_rodov_chto_delat,Опущение тазовых органов после родов: что делать?,"Опущение и выпадение женских половых органов – распространенная проблема у женщин не только старшего возраста, но и у молодых в послеродовом периоде. Современный уровень развития медицины позволяет не только лечить, но и профилактировать.",,True,True,False
http://10.4.95.44/ya_beremenna/posle_rodov,После родов,Полезная информация и советы врачей после родов,,True,True,False
http://10.4.95.44/ya_beremenna,Беременность,Календарь беременности,,True,True,False
http://10.4.95.44/faq,Вопрос-ответ,Раздел Вопрос-ответ,,True,True,False
http://10.4.95.44/internship,Заявка на стажировку,Заявка на стажировку,,True,True,False
http://10.4.95.44/https://zdrav.mosreg.ru/widget-pharmacy-map,,,,False,False,False
http://10.4.95.44/dod,Проверьте здоровье перед новогодними праздниками: бесплатные обследования пройду,Проверьте здоровье перед новогодними праздниками: бесплатные обследования пройдут в Подмосковье,,True,True,False
http://10.4.95.44/news,Все новости,Новости,,True,True,False
http://10.4.95.44/quiz,"Тесты, опросы и голосования","Гегельянство категорически рефлектирует субъективный дуализм, открывая новые горизонты. Отношение к современности раскладывает на элементы напряженный смысл жизни.",,True,True,False
http://10.4.95.44/address,Адресная книга,Адресная книга,,True,True,False
http://10.4.95.44/confirm/cancelspecialistbecomes,,,,False,False,False
http://10.4.95.44/confirm/canceltutorfeedback,,,,False,False,False
http://10.4.95.44/confirm/approvetutorfeedback,,,,False,False,False
http://10.4.95.44/confirm/approvespecialistbecomes,,,,False,False,False
http://10.4.95.44/confirm/cancelnewsletter,,,,False,False,False
http://10.4.95.44/confirm/approvenewsletter,,,,False,False,False
http://10.4.95.44/confirm,Подтверждение запросов,Подтверждение запросов,,True,True,False
http://10.4.95.44/contract_birth,"Заявка на ""Контрактные роды""",Форма заявки,,True,True,False
http://10.4.95.44/contract_birth_thanks,"Спасибо, что оставили заявку на ""Контрактные роды""","Спасибо, что оставили заявку на ""Контрактные роды""",,True,True,False
http://10.4.95.44/make_order,Оставить заявку,Оставить заявку,,True,True,False
http://10.4.95.44/make_order_thanks,"Спасибо, что оставили заявку","Спасибо, что оставили заявку",,True,True,False
http://10.4.95.44/lpu_order,Заявка из ЛПУ,Заявка из ЛПУ,,True,True,False
http://10.4.95.44/lpu_order_thanks,"Спасибо, что оставили заявку из ЛПУ","Спасибо, что оставили заявку из ЛПУ",,True,True,False
http://10.4.95.44/events/den-jenskogo-zdorovya,День женского здоровья,"Во время Дня женского здоровья можно получить бесплатную консультацию онколога, сделать необходимые обследования.",,True,True,False
http://10.4.95.44/events/den-mujskogo-zdorovya,День мужского здоровья,"Во время Дня мужского здоровья можно получить бесплатную консультацию онколога, сделать необходимые обследования.",ТЕСТ МЕРОПРИЯТИЯ,True,True,True
http://10.4.95.44/events/staroe-meropriyatie-06062024-16062024,Старое мероприятие 06.06.2024-16.06.2024,Старое мероприятие 06.06.2024-16.06.2024,,True,True,False
http://10.4.95.44/events/testovoe_meropriyatie,Тестовое мероприятие,Тест,,True,True,False
http://10.4.95.44/events/fakultet_informatsionnih_tehnologii_universiteta_sinergiya_p,Факультет информационных технологий Университета «Синергия» приглашает на День о,"Факультет информационных технологий Университета «Синергия» приглашает на День открытых дверей. Гости познакомятся с образовательными программами, условиями поступления и обучения, познакомятся с преподавателями и студентами.",Информационный сервис/Мероприятия1234567891011121314151617181920Информационный сервис/МероприятияИнформационный сервис/МероприятияИнформационный сервис/МероприятияИнформационный сервис/Мероприятиявот.,True,True,True
http://10.4.95.44/news/test__novosti,Все самое важное,Информация о новостях,ТЕСТ НОВОСТИ,True,True,True
http://10.4.95.44/news/partnyorskie_rodi_stanovyatsya_populyarnee_v_podmoskove,тайтл для сео,описание сео,Новости,True,True,True
http://10.4.95.44/news/proekt_stan_mamoi_bil_otmechen_na_natsionalnoi_premii_umnii_,,,,False,False,False
http://10.4.95.44/news/nipt_diagnostika_hromosomnih_anomalii_u_ploda,,,,False,False,False
http://10.4.95.44/news/moniiag_priglashaet_na_vstrechu_s_akusherami_i_neonatologami,,,,False,False,False
http://10.4.95.44/news/s_mezhdunarodnim_dnyom_meditsinskoi_sestri,,,,False,False,False
http://10.4.95.44/news/pochemu_vazhno_promivat_nos_grudnichkam_dazhe_pri_prostom_na,,,,False,False,False
http://10.4.95.44/news/ministr_zdravoohraneniya_podmoskovya_virazil_priznatelnost_o,,,,False,False,False
http://10.4.95.44/news/ordinator_moniiag_prinyala_rodi_po_doroge_s_uchyobi,Title SEO !!!,Description SEO !!!!,,True,True,False
http://10.4.95.44/news/proverte_reproduktivnoe_zdorove_besplatno_v_podmoskove,,,,False,False,False
http://10.4.95.44/news/bolee_1500_akusherok_pomogayut_zhitelnitsam_podmoskovya_v_va,,,,False,False,False
http://10.4.95.44/news/prilozhenie_zdorove_onlain_zapuscheno_v_moskovskoi_oblasti,,,,False,False,False
http://10.4.95.44/news/20_noyabrya_den_pediatra_i_vsemirnii_den_rebenka,,,,False,False,False
http://10.4.95.44/news/opuholi_gipofiza_naskolko_opasni,,,,False,False,False
http://10.4.95.44/news/vrachi-rasskazali-ob-opasnosti-bytovogo-gaza,,,,False,False,False
http://10.4.95.44/news/palliativnye-pacienty-s-onkologiej-mogut-obratitsya-v-koordinacionnyj-centr-v-himkah,,,,False,False,False
http://10.4.95.44/news/vrachi-voskresenska-pomogli-zhenshine-s-perelomami-shejki-bedra,,,,False,False,False
http://10.4.95.44/news/vrachi-rasskazali-pro-onkologiyu-lyogkih,,,,False,False,False
http://10.4.95.44/news/onkologi-podmoskovya-uchastvuyut-v-konferencii-v-odincove,,,,False,False,False
http://10.4.95.44/news/simtomy-onkologii-gorla,,,,False,False,False
http://10.4.95.44/news/konkurs-dlya-medrabotnikov-podmoskovya,,,,False,False,False
http://10.4.95.44/news/lekarstvo-ot-onkologii-iz-ugolnoj-zoly,,,,False,False,False
http://10.4.95.44/news/videonstrukciya-po-zapisi-k-onkologu,,,,False,False,False
http://10.4.95.44/news/redkie-vidy-onkologii,,,,False,False,False
http://10.4.95.44/news/onkodesant-v-ramenskom,,,,False,False,False
http://10.4.95.44/news/donorov-priglashayut-sdat-krov-v-kolomne,,,,False,False,False
http://10.4.95.44/news/streptokokki-pomogut-vylechit-onkologiyu,,,,False,False,False
http://10.4.95.44/news/dispanserizaciya-dlya-zhitelej-podmoskovya,,,,False,False,False
http://10.4.95.44/news/pacienty-s-onkologiej-mogut-obratitsya-na-goryachuyu-liniyu-po-palliativnoj-pomoshi,,,,False,False,False
http://10.4.95.44/news/simptomy-onkologii-mochevogo-puzyrya,,,,False,False,False
http://10.4.95.44/news/vrach-rasskazala-kakoj-solnezashitnyj-krem-vybrat,,,,False,False,False
http://10.4.95.44/news/vrach-rasskazal-chem-opasny-parazity,,,,False,False,False
http://10.4.95.44/news/vrachi-podmoskovya-otmechayut-professionalnyj-prazdnik,,,,False,False,False
http://10.4.95.44/news/minzdrav-rossii-prizval-otkazatsya-ot-alkogolya,,,,False,False,False
http://10.4.95.44/news/den-donora-krovi-otmechayut-vo-vsyom-mire,,,,False,False,False
http://10.4.95.44/news/vrach-rasskazala-pro-recidivy-pri-onkologii,,,,False,False,False
http://10.4.95.44/news/vrach-napomnil-ob-opasnoj-patologii-pochki,,,,False,False,False
http://10.4.95.44/news/uchyonye-ispytyvayut-novyj-radiofarmpreparat,,,,False,False,False
http://10.4.95.44/news/vrachi-lyuberec-ostanovili-rost-opuholi,,,,False,False,False
http://10.4.95.44/news/besplatnyj-analiz-krovi-mozhno-sdat-v-parkah-moskovskoj-oblasti,,,,False,False,False
http://10.4.95.44/news/konferenciya-onkologov-podmoskovya-projdyot-9-iyunya,,,,False,False,False
http://10.4.95.44/news/dlya-pacientov-s-onkologiej-i-ih-rodstvennikov-rabotaet-specialnaya-shkola,,,,False,False,False
http://10.4.95.44/news/onkolog-rasskazal-pro-zashitu-kozhi-letom,,,,False,False,False
http://10.4.95.44/news/zhitel-odincova-uznal-ob-onkologii-na-dispanserizacii,,,,False,False,False
http://10.4.95.44/news/testovaya_novost,,,,False,False,False
http://10.4.95.44/news/vrach-rasskazal-pro-onkologiyu-matki,,,,False,False,False
http://10.4.95.44/news/vsemirnyj-den-otkaza-ot-tabaka,,,,False,False,False
http://10.4.95.44/news/zhitelnica-krasnogorska-pobedila-onkologiyu-molochnyh-zhelyoz,,,,False,False,False
http://10.4.95.44/news/zhitelnicy-krasnogorska-mogut-besplatno-sdelat-mammografiyuhttp://10.4.95.44/news/zhenshin-s-onkologiej-molochnyh-zhelyoz-priglashayut-na-uroki-risovaniya,,,,False,False,False
http://10.4.95.44/news/profilaktika-zabolevanij-shitovidnoj-zhelezy,,,,False,False,False
http://10.4.95.44/news/v-podmoskove-provoditsya-dispanserizaciya-zhitelej,,,,False,False,False
http://10.4.95.44/news/medrabotniki-moskovskoj-oblasti-poluchayut-kompensaciyu-za-suem-zhilya,,,,False,False,False
http://10.4.95.44/news/pyat-grupp-riska-po-onkologii,,,,False,False,False
http://10.4.95.44/news/v-podmoskove-zapustili-opros-o-kachestve-zdravoohraneniya,,,,False,False,False
http://10.4.95.44/news/vrach-napomnil-o-profilaktike-melanomy,,,,False,False,False
http://10.4.95.44/news/uchyonye-nashli-vzaimosvyaz-mezhdu-prosmotrom-televizora-i-onkologiej,,,,False,False,False
http://10.4.95.44/news/zhitelyu-podmoskovya-najti-onkologiyu-pomogla-dispanserizaciya,,,,False,False,False
http://10.4.95.44/news/profilaktika-onkologii-v-podmoskove,,,,False,False,False
http://10.4.95.44/news/xii-suezd-onkologov-rossii-projdyot-v-samare,,,,False,False,False
http://10.4.95.44/news/noginskie-vrachi-spasli-zhenshinu-s-ogromnoj-opuholyu,,,,False,False,False
http://10.4.95.44/news/chem-opasen-hronicheskij-pankreatit,,,,False,False,False
http://10.4.95.44/news/zhitelnica-podmoskovya-rasskazala-o-borbe-s-onkologiej,,,,False,False,False
http://10.4.95.44/news/vrach-rasskazala-pro-gistologiyu-opuholej,,,,False,False,False
http://10.4.95.44/news/uchyonye-nashli-novyj-radionuklid-dlya-lecheniya-opuholi,,,,False,False,False
http://10.4.95.44/news/uchyonye-pridumali-novyj-protivoopuholevyj-preparat,,,,False,False,False
http://10.4.95.44/news/vrach-rasskazal-sovmestimy-li-beremennost-i-onkologiya,,,,False,False,False
http://10.4.95.44/news/vrachi-podmoskovya-spasli-zhenshinu-s-ishemicheskoj-boleznyu-i-opuholyu,,,,False,False,False
http://10.4.95.44/news/istoriya-spaseniya-beremennoj-zhenshiny-s-opuholyu-pochki,,,,False,False,False
http://10.4.95.44/news/lechenie-i-diagnostika-onkologii-v-sovremennom-pet-centre,,,,False,False,False
http://10.4.95.44/news/vrach-rasskazal-o-novoobrazovaniyah-v-pochkah,,,,False,False,False
http://10.4.95.44/news/vrach-rasskazala-chem-opasny-shashlyki,,,,False,False,False
http://10.4.95.44/news/v-podolske-udalili-opuhol-golovnogo-mozga-s-pomoshhyu-sovremennogo-metoda,,,,False,False,False
http://10.4.95.44/news/fotoproekt-rasskazyvaet-o-pacientah-s-onkologiej,,,,False,False,False
http://10.4.95.44/news/vrachi-rasskazali-o-profilaktike-onkologii-yajichnikov,,,,False,False,False
http://10.4.95.44/news/onkolog-napomnila-o-simptomah-raka-lyogkih,,,,False,False,False
http://10.4.95.44/news/vrachi-rasskazali-nuzhno-li-udalyat-dobrokachestvennuyu-opuhol,,,,False,False,False
http://10.4.95.44/news/istoriya-spaseniya-zhenshiny-s-opuholyu-mozga,,,,False,False,False
http://10.4.95.44/news/vakcinu-protiv-raka-kozhi-protestirovali-na-pacientah,,,,False,False,False
http://10.4.95.44/news/zhitelnice-noginska-udalili-redkuyu-miomu,,,,False,False,False
http://10.4.95.44/news/analizy-dlya-vyyavleniya-onkologii,,,,False,False,False
http://10.4.95.44/news/zhitelnicy-podmoskovya-sami-zapisyvayutsya-na-mammografiyu,,,,False,False,False
http://10.4.95.44/news/pacientov-stomatologij-osmotryat-na-predmet-raka-polosti-rat,,,,False,False,False
http://10.4.95.44/news/vrachi-moniki-proveli-operaciyu-na-mozge-pacientke-v-soznanii,,,,False,False,False
http://10.4.95.44/news/golosovoj-pomoshnik-zapisyvaet-na-priyom-pacientov-s-onkologiej,,,,False,False,False
http://10.4.95.44/news/onkolog-rasskazal-o-lechenii-raka-predstatelnoj-zhelezy,,,,False,False,False
http://10.4.95.44/news/okolo-200-podmoskovnyh-onkologov-prinyali-uchastie-v-konferencii,,,,False,False,False
http://10.4.95.44/news/istoriya-spaseniya-pacientka-uznala-o-pozdnej-beremennosti-iz-za-boyazni-razvitiya-raka,,,,False,False,False
http://10.4.95.44/news/v-kolomne-provodyat-obsledovaniya-na-onkologiyu,,,,False,False,False
http://10.4.95.44/news/pochemu-onkopacientam-mozhno-i-nuzhno-dumat-o-rozhdenii-detej,,,,False,False,False
http://10.4.95.44/news/nekotorye-privivki-zashityat-ot-lgkllo,,,,False,False,False
http://10.4.95.44/news/tret-rossiyan-boyatsya-vrachej-osobenno-onkologov-i-stomatologov,,,,False,False,False
http://10.4.95.44/news/mikroskop-dlya-udaleniya-opuholej-golovy-poyavilsya-v-dolgoprudnom,,,,False,False,False
http://10.4.95.44/news/zhitelnicy-ramenskogo-prohodyat-rasshirennuyu-kolposkopiyu,,,,False,False,False
http://10.4.95.44/news/bolee-40-zhitelej-proshli-dispanserizaciyu-v-novom-formate-v-kolomne,,,,False,False,False
http://10.4.95.44/news/onkolog-rasskazal-mozhet-li-shampun-vyzvat-rak,,,,False,False,False
http://10.4.95.44/news/vrachi-diagnostiruyut-onkologiyu-polosti-rta,,,,False,False,False
http://10.4.95.44/news/vrachi-napomnili-o-kontrole-za-zdorovem-zheludka,,,,False,False,False
http://10.4.95.44/news/uchyonye-izuchayut-prichiny-raka-zheludka,,,,False,False,False
http://10.4.95.44/news/devochka-iz-kolomny-pobedila-onkologiyu-4-stadii,,,,False,False,False
http://10.4.95.44/news/rodinki-u-zhitelej-solnechnogorska-proveryat-pri-pomoshi-iskusstvennogo-intellekta,,,,False,False,False
http://10.4.95.44/news/vrach-rasskazal-o-stomah-u-onkopacientov,,,,False,False,False
http://10.4.95.44/news/podolskie-vrachi-udalili-devushke-kistu-napolnennuyu-volosami-i-kostyami,,,,False,False,False
http://10.4.95.44/news/razbiraemsya-chto-takoe-klinicheskie-rekomendacii,,,,False,False,False
http://10.4.95.44/news/vrachi-podmoskovya-vernut-golos-lyudyam-s-onkologiej-gortani,,,,False,False,False
